Timestamp,Day,Sleep,Meals,School,Homework,Working,Grooming,Travel,Chores,Online_School,Online_Social,Friends,Tv_Streaming,Videogames,Sports,Reading,Hobbies,Music,Other
10/27/2022 13:50:47,Sunday,690,105,0,0,0,30,65,45,30,0,265,30,0,0,0,30,0,150
10/27/2022 21:24:27,Thursday,445,90,270,90,0,40,110,10,0,105,0,0,55,225,0,0,0,0
10/27/2022 21:31:41,Friday,505,115,395,0,0,15,45,0,0,0,0,320,0,0,0,0,0,45
10/27/2022 21:44:10,Saturday,835,105,0,125,0,0,25,0,0,180,0,150,0,0,0,0,0,20
10/27/2022 22:00:21,Sunday,410,160,0,510,0,15,35,35,0,0,0,85,0,0,0,0,0,190
10/30/2022 14:30:15,Wednesday,450,30,450,40,0,25,80,0,0,115,5,90,0,120,20,50,0,0
10/30/2022 14:34:09,Thursday,360,120,335,600,0,30,80,0,30,150,10,65,0,120,30,20,30,0
10/30/2022 14:37:06,Friday,390,120,395,30,15,30,120,20,0,120,10,0,0,0,60,90,40,0
10/30/2022 14:43:56,Saturday,480,90,0,60,20,60,20,50,30,0,170,180,0,240,0,0,40,0
10/30/2022 14:47:51,Sunday,600,20,0,30,0,85,30,0,0,100,0,95,0,0,20,0,0,60
11/2/2022 10:57:15,Sunday,600,20,270,120,0,15,15,0,240,60,60,0,0,0,0,30,0,0
11/4/2022 9:10:29,Wednesday,520,79,420,15,0,56,150,20,20,25,10,25,55,0,20,0,25,0
11/4/2022 9:11:17,Wednesday,490,75,365,30,0,75,30,15,25,60,165,20,0,0,25,0,65,0
11/4/2022 9:12:14,Wednesday,415,110,385,80,0,55,130,25,0,55,0,60,0,0,125,0,0,0
11/4/2022 9:12:32,Thursday,465,40,425,0,0,0,100,15,0,70,100,20,10,0,50,0,90,15
11/4/2022 9:13:51,Thursday,525,65,420,60,0,60,85,20,0,20,0,55,30,30,50,50,0,0
11/4/2022 9:13:53,Thursday,450,90,365,40,0,85,30,10,25,80,30,50,0,0,45,0,140,0
11/4/2022 9:15:00,Wednesday,455,80,435,20,0,45,90,0,0,120,120,0,0,0,150,0,420,0
11/4/2022 9:15:20,Friday,405,125,385,30,0,55,175,20,0,25,0,60,0,0,20,0,120,20
11/4/2022 9:15:47,Friday,195,125,365,0,0,60,50,20,30,50,445,40,5,0,10,0,45,0
11/4/2022 9:16:33,Saturday,570,70,0,20,0,35,45,50,0,65,0,105,0,80,215,50,30,105
11/4/2022 9:17:11,Friday,654,60,0,0,0,50,125,10,0,80,100,40,0,0,75,0,30,216
11/4/2022 9:17:42,Saturday,930,90,0,40,0,50,0,20,0,90,0,85,0,0,60,0,75,0
11/4/2022 9:18:03,Sunday,660,90,25,120,0,10,60,130,0,100,0,125,0,25,0,80,10,5
11/4/2022 9:19:10,Saturday,580,80,0,40,0,45,120,20,0,55,190,30,35,0,95,0,15,135
11/4/2022 9:19:34,Sunday,600,120,0,20,0,115,90,20,0,45,300,90,0,0,0,0,40,0
11/4/2022 9:19:45,Thursday,435,75,485,0,0,45,100,0,60,150,165,0,0,0,210,0,520,0
11/4/2022 9:20:54,Sunday,720,60,0,110,0,70,130,40,0,40,65,0,20,0,20,0,80,85
11/4/2022 9:21:03,Friday,390,105,380,30,0,50,180,20,0,30,0,80,40,0,45,0,90,0
11/4/2022 11:20:48,Wednesday,420,60,355,60,0,80,60,30,30,40,75,45,0,75,40,0,70,0
11/4/2022 11:34:16,Thursday,420,110,355,10,0,60,90,0,0,50,100,80,0,0,30,30,75,0
11/4/2022 11:36:38,Sunday,690,80,390,80,0,0,20,0,20,20,60,0,0,0,10,0,70,0
11/4/2022 11:37:08,Friday,120,30,355,20,0,30,510,0,15,120,0,0,0,0,120,0,120,0
11/4/2022 11:39:12,Thursday,660,65,355,110,0,0,0,40,90,30,0,0,0,0,30,0,60,0
11/4/2022 11:41:28,Friday,690,60,0,150,0,20,0,0,205,105,0,40,90,0,80,0,0,0
11/4/2022 11:41:34,Wednesday,560,60,415,150,0,20,15,0,0,0,0,0,0,0,0,80,140,0
11/4/2022 11:43:08,Friday,540,95,500,40,0,10,30,0,0,100,0,20,0,0,0,0,105,0
11/4/2022 11:44:08,Wednesday,380,105,420,120,0,0,135,15,0,105,0,90,0,0,0,0,40,30
11/4/2022 11:44:40,Saturday,655,60,0,30,0,5,60,0,0,100,0,100,30,0,260,120,20,0
11/4/2022 11:44:50,Saturday,680,130,0,120,0,0,130,50,120,100,0,0,0,0,10,0,60,0
11/4/2022 11:46:24,Wednesday,540,130,460,60,0,0,100,0,0,150,0,0,0,0,0,0,0,0
11/4/2022 11:46:28,Thursday,380,90,420,120,0,0,120,15,60,90,0,60,0,0,0,0,85,0
11/4/2022 11:46:36,Sunday,670,150,0,160,0,0,100,30,0,160,0,0,0,0,90,10,70,0
11/4/2022 11:46:38,Sunday,500,80,0,90,0,0,0,10,180,60,0,320,0,0,200,0,0,0
11/4/2022 11:47:58,Thursday,600,125,415,0,0,0,120,0,0,180,0,0,0,0,0,0,0,0
11/4/2022 11:48:04,Saturday,480,100,0,0,0,180,20,40,0,120,120,60,0,50,60,0,210,0
11/4/2022 11:48:40,Friday,380,90,420,120,0,0,120,15,60,90,0,60,0,0,0,0,85,0
11/4/2022 11:49:48,Friday,510,70,480,60,0,45,95,0,0,180,0,0,0,0,0,0,0,0
11/4/2022 11:50:58,Saturday,570,105,20,30,0,65,60,135,0,165,0,165,0,0,0,45,85,0
11/4/2022 11:51:30,Saturday,660,150,0,0,0,0,120,0,150,120,240,0,0,0,0,0,0,0
11/4/2022 11:52:08,Sunday,420,20,0,120,0,40,240,20,160,180,0,120,0,0,40,0,80,0
11/4/2022 11:52:54,Sunday,660,170,0,0,0,0,70,0,0,180,360,0,0,0,0,0,0,0
11/4/2022 11:53:43,Sunday,540,140,0,120,0,0,60,60,135,85,0,75,0,0,0,120,105,0
11/4/2022 11:55:09,Wednesday,550,125,395,46,0,15,38,20,70,70,0,60,0,0,0,36,15,0
11/4/2022 11:56:09,Thursday,540,40,270,0,0,0,0,0,10,0,0,90,0,0,0,450,40,0
11/4/2022 12:02:25,Wednesday,45,0,390,15,0,10,10,0,50,10,0,0,0,0,0,0,10,0
11/4/2022 12:05:42,Thursday,450,20,250,10,125,65,20,25,140,160,0,15,15,120,0,0,25,0
